repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions,gate_value
0,2,792,198,pinn,0.8120870631912473,0.43623826948910216,0.6604833604937388,0.4351189203388763,4.020751369476319,0,
0,2,792,198,hybrid_gated,0.7629123646223092,0.5503969100312076,0.7418873971373335,0.4851312076419291,3.4808410644531254,4,0.08030474931001663
0,2,792,198,hybrid_ungated,0.7508402306994368,0.5784222652887558,0.7605407716150107,0.5167413305080298,3.5261463165283207,2,
0,2,792,198,stack_ridge,0.8565645874434556,0.33298407879604713,0.5770477266189056,0.380577190870207,3.493208232694549,0,
0,2,792,198,stack_nnls,0.8578318305474778,0.3300421848098803,0.5744929806445682,0.3806316905764676,3.461647937911456,0,
0,3,792,198,rf,0.8268283052886237,0.4872613792242425,0.6980411013860448,0.47773303030303027,3.1853000000000007,0,
0,3,792,198,gbr,0.8309958010221508,0.4755350995778255,0.6895905303713397,0.49478079420396126,2.9050967407542494,0,
0,3,792,198,svr,0.8045914199305246,0.5498303541788252,0.7415054646992328,0.5209708239915853,3.19516320979859,0,
0,3,792,198,mlp,0.895907527254879,0.29288990860304565,0.5411930419019129,0.3887270670834214,2.388231554031372,0,
0,3,792,198,pinn,0.8827140514923902,0.33001301470595984,0.574467592389649,0.3917277160648144,2.7265099601745604,0,
0,3,792,198,hybrid_gated,0.8378417426413781,0.4562723501947175,0.6754793484590905,0.4993138286826587,2.9229221725463868,7,0.07810645550489426
0,3,792,198,hybrid_ungated,0.8175695699393567,0.5133131203224355,0.7164587359523474,0.47496761679408517,3.4669022941589356,1,
0,3,792,198,stack_ridge,0.8854813410170621,0.32222656142471323,0.5676500342858382,0.38634757768242,2.6838908814564135,0,
0,3,792,198,stack_nnls,0.8843591579482786,0.3253841009449501,0.5704244918873577,0.3844226958872135,2.676103742553276,0,
0,4,792,198,rf,0.7344612139775766,0.4876239722671715,0.6983007749295225,0.5111506565656564,2.742799999999998,0,
0,4,792,198,gbr,0.7530683308048676,0.45345466556936675,0.6733904258076192,0.488082132404136,2.6424054300845885,0,
0,4,792,198,svr,0.696439174515777,0.5574460054013302,0.7466230678202557,0.5442305951858786,2.3489386188509425,0,
0,4,792,198,mlp,0.8293028764947483,0.3134608343474988,0.5598757311649601,0.38269489607365437,2.707519546508789,0,
0,4,792,198,pinn,0.7800132035576699,0.403974263550637,0.6355896974862297,0.44202966689581813,2.6673951301574705,0,
0,4,792,198,hybrid_gated,0.7125107171278253,0.5279329178168808,0.726589924109109,0.5098334667020374,2.946510349273682,1,0.07780088484287262
0,4,792,198,hybrid_ungated,0.7814606455221293,0.40131624356452356,0.6334952593070634,0.44168821739909625,2.921553150177002,0,
0,4,792,198,stack_ridge,0.8233008875403496,0.32448262795922567,0.5696337665195293,0.3938816769491846,2.541989643655392,0,
0,4,792,198,stack_nnls,0.8239705603122228,0.3232528697682228,0.5685533130395274,0.3932168816032562,2.600696861754612,0,
1,0,792,198,rf,0.8768168444179771,0.2510711093984848,0.5010699645742945,0.3703620707070708,2.2858799999999992,0,
1,0,792,198,gbr,0.8689008143459783,0.26720551059009184,0.516919249583619,0.3819131595946228,2.29485813362083,0,
