repeat,fold,n_train,n_valid,dropped,r2,mse,rmse,mae,max_error,negative_predictions
2,0,792,198,gbr,0.9177720875733316,0.23022230755427533,0.4798148680004355,0.34036903668946106,1.7982331847501314,0
2,0,792,198,svr,0.9164944124183444,0.23379955175037784,0.48352823263008937,0.3435864915927327,1.8182531246197442,0
2,0,792,198,mlp,0.9060732131326836,0.26297690134158136,0.5128127351593186,0.3606844610425552,1.9008732376787458,0
2,0,792,198,pinn,0.9193529866373938,0.22579609485109634,0.4751800657130898,0.3429551741235289,1.798794192788447,0
2,1,792,198,rf,0.9069776635010001,0.23182488302170767,0.48148196541688626,0.341831559890737,1.769210122924581,0
2,1,792,198,gbr,0.9154243469682147,0.21077454736679221,0.4591018921402875,0.31605021892540763,1.777064043817345,0
2,1,792,198,svr,0.9137511525310417,0.21494438570099045,0.463620950455208,0.32208332239773363,1.759898641678387,0
2,1,792,198,mlp,0.9037728708327962,0.2398116818205443,0.4897057094016204,0.342719379173323,1.8881386012305201,0
2,1,792,198,pinn,0.9138179057208405,0.2147780272649539,0.46344150360639247,0.3231645645371766,1.7386663698739468,0
2,2,792,198,rf,0.8476423675939672,0.32424138590122675,0.5694219752531744,0.3635147240815415,3.538041616613608,0
2,2,792,198,gbr,0.8528993547012262,0.3130536773604429,0.5595119992997852,0.3522163935733922,3.4552272876191283,0
2,2,792,198,svr,0.8502579505986141,0.3186750073419544,0.5645130710107202,0.35912505568073627,3.505540684434269,0
2,2,792,198,mlp,0.846315669774979,0.32706481084363104,0.5718958041843208,0.3630000646387869,3.507844202417573,0
2,2,792,198,pinn,0.8525621945764961,0.31377120797828434,0.5601528434081937,0.3612726534552828,3.4639366613484874,0
2,3,792,198,rf,0.9021451513428292,0.2749630414309454,0.5243691842880791,0.3669858763930592,2.3081515694882317,0
2,3,792,198,gbr,0.9039066306752928,0.27001344801459065,0.5196281824676089,0.36303394471178735,2.4891260927595074,0
2,3,792,198,svr,0.9035070438550148,0.2711362498882543,0.5207074513469673,0.36325589131341907,2.378448165736079,0
2,3,792,198,mlp,0.8996060738329175,0.2820976135460195,0.5311286224127066,0.36892307742526054,2.5030088331061053,0
2,3,792,198,pinn,0.9016965486326478,0.2762235734053781,0.5255697607410249,0.3718995736404181,2.2699748197405047,0
2,4,792,198,rf,0.7772072272648278,0.38039600084520886,0.6167625157588688,0.39369599802560673,2.829618940920786,0
2,4,792,198,gbr,0.7911375042145812,0.35661146969863006,0.5971695485359497,0.37608056077833524,2.844338649826081,0
2,4,792,198,svr,0.7812837602321508,0.37343573539743063,0.6110938842742829,0.3865231096279126,2.8534027928050034,0
2,4,792,198,mlp,0.78443452362599,0.36805612734322063,0.6066762953529836,0.3866505766351559,2.8892042859936664,0
2,4,792,198,pinn,0.7623374067641061,0.4057847070510618,0.6370123288061714,0.40346713467129297,2.8490740782524293,0
