tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
full,1,2,792,198,svr,0.7209627705080046,0.6741206716189224,0.8210485196496748,0.556914382594091,3.8222114631681245,0
full,1,2,792,198,mlp,0.8342084101675704,0.4005327105995097,0.6328765366163528,0.3852067697272457,4.236855876922608,1
full,1,2,792,198,pinn,0.8257226297500405,0.4210333441697698,0.6488708224059468,0.38773295898509746,4.411854160308838,1
full,1,2,792,198,stack_ridge,0.8542661898222109,0.3520755068185408,0.5933595089138968,0.37655926926728506,4.014638880514209,0
full,1,2,792,198,stack_nnls,0.8453375021023405,0.37364615161512443,0.6112660236060274,0.3854133928415511,4.0738401055482445,0
full,1,3,792,198,prior_xgb,0.8942989768085559,0.29178096081989663,0.5401675303273019,0.38472760673364,2.577422569274902,0
full,1,3,792,198,prior_gbr,0.8918441279334085,0.2985574152177015,0.5464040768677532,0.41097120323077607,1.7933970864140285,0
full,1,3,792,198,prior_rf,0.8585042132228057,0.3905901321602233,0.6249721051056786,0.4717238325974337,2.0707327023809574,0
full,1,3,792,198,rf,0.8572027970306548,0.3941826088979798,0.6278396362909718,0.4691745454545453,2.136660000000002,0
full,1,3,792,198,gbr,0.8665312425403225,0.36843202757354854,0.6069860192570736,0.47070001005133105,2.099203652096106,0
full,1,3,792,198,svr,0.7976922704692423,0.5584576376035909,0.7473002325729539,0.5239725817037668,3.881240824314591,0
full,1,3,792,198,mlp,0.9045419508946546,0.26350588144737164,0.5133282394797423,0.3687080759640896,2.3636440353393553,1
full,1,3,792,198,pinn,0.900574794874484,0.27445696366339983,0.5238864033961941,0.378601982267216,2.244460018157959,0
full,1,3,792,198,stack_ridge,0.9182286336040688,0.2257246631505822,0.47510489699705494,0.34828821212435035,2.0177862616548277,0
full,1,3,792,198,stack_nnls,0.9156116712770146,0.23294862143558737,0.4826475126172177,0.3541972696347553,2.113172412067648,0
full,1,4,792,198,prior_xgb,0.8269488469771812,0.4010902014693152,0.633316825506251,0.4092486953458401,3.23391722869873,0
full,1,4,792,198,prior_gbr,0.8368894941954689,0.37805021516542353,0.614857882087742,0.41728977550330526,3.0267599190213543,0
full,1,4,792,198,prior_rf,0.7942660542414836,0.47684091271255247,0.6905366845523505,0.45832853979408494,2.9966075000000023,0
full,1,4,792,198,rf,0.8019488026938039,0.4590341829060605,0.6775206143772015,0.4540132323232323,3.15057,0
full,1,4,792,198,gbr,0.807599439848158,0.44593738952976325,0.6677854367457883,0.48746676306188574,2.578669120989452,0
full,1,4,792,198,svr,0.7740566362751031,0.5236813953220169,0.7236583415687384,0.48842530233289805,3.2719777163328247,0
full,1,4,792,198,mlp,0.8817503750890558,0.27407367735335153,0.523520465075962,0.35173533436023835,2.3170807285308834,1
full,1,4,792,198,pinn,0.8875237356923324,0.26069244107104916,0.5105804942132525,0.35303297382111504,1.965712909698487,0
full,1,4,792,198,stack_ridge,0.8898515029240552,0.2552972465771863,0.5052694791665001,0.3431039752011821,2.0193608855587577,0
full,1,4,792,198,stack_nnls,0.891664114094718,0.2510960576979025,0.5010948589817127,0.3434324468196986,2.0238405283030643,0
full,2,0,792,198,prior_xgb,0.9018316544594164,0.27485244817924787,0.524263720067723,0.36913605151634027,2.2730311851501463,0
full,2,0,792,198,prior_gbr,0.8910740610855843,0.304971636386329,0.5522423710530812,0.40437669996219405,2.5182471703315166,0
full,2,0,792,198,prior_rf,0.8602173756740207,0.3913644087343056,0.6255912473287215,0.44660005127611513,2.1648317916666713,0
full,2,0,792,198,rf,0.855608260906767,0.4042690417984847,0.6358215487056763,0.45172328282828283,2.2598700000000047,0
full,2,0,792,198,gbr,0.8572687504916208,0.39961999097604306,0.6321550371357038,0.47499411366392835,2.4065283118953333,0
full,2,0,792,198,svr,0.8074546511360432,0.5390898688305559,0.7342273958594543,0.5051645549704855,3.078684955578363,0
full,2,0,792,198,mlp,0.89583794747967,0.2916336725951293,0.5400311774287937,0.3668799383556,2.20439142036438,1
full,2,0,792,198,pinn,0.8930079613469653,0.29955708836223816,0.547318087004475,0.3700437793009209,2.1315519218444825,1
full,2,0,792,198,stack_ridge,0.9142715399744442,0.2400231661938296,0.4899215918836703,0.3440830965553397,1.957808682598976,0
full,2,0,792,198,stack_nnls,0.9154977608838699,0.23658998396886363,0.48640516441426035,0.3418000960748635,2.018935062511843,0
full,2,1,792,198,prior_xgb,0.899311877035577,0.2509291123659704,0.5009282507165775,0.36083308124783064,1.8471838855743408,0
full,2,1,792,198,prior_gbr,0.8873558468064677,0.2807252389048589,0.5298351053911574,0.37789950224351787,1.7566918373799476,0
full,2,1,792,198,prior_rf,0.8684802030153327,0.32776602586559433,0.5725085378102185,0.40443060369999906,2.4900116426482803,0
full,2,1,792,198,rf,0.8679082474602638,0.3291914203959594,0.573752054807614,0.4056279797979796,2.572370000000002,0
full,2,1,792,198,gbr,0.8519776350297812,0.36889277065392145,0.6073654341942102,0.449957797468711,2.261035104245231,0
full,2,1,792,198,svr,0.8033482370281301,0.49008414175294807,0.7000600986722126,0.47179192643400353,3.6968329671895415,0
full,2,1,792,198,mlp,0.9110019383986763,0.22179581804105103,0.4709520336945696,0.33575663332264827,1.6622330570220947,1
full,2,1,792,198,pinn,0.8987860285180742,0.2522396016059234,0.5022346081324179,0.3500585264051803,2.0956613769531254,0
full,2,1,792,198,stack_ridge,0.9174066947633458,0.2058342549272497,0.4536896019606904,0.32314032308932644,1.8079085090806015,0
full,2,1,792,198,stack_nnls,0.9169575383094494,0.20695361664511078,0.45492154998978757,0.32262000357794324,1.8504026691726065,0
full,2,2,792,198,prior_xgb,0.8409599977949048,0.3384625365619183,0.5817753316890621,0.38082167971013775,2.8375047569274905,0
full,2,2,792,198,prior_gbr,0.8339132166566952,0.3534592127790085,0.594524358440433,0.4066674685983108,2.791334386551581,0
full,2,2,792,198,prior_rf,0.8020942161038421,0.4211751300870046,0.6489800690984312,0.44561392047048537,3.0099258333333303,0
full,2,2,792,198,rf,0.8094277983532895,0.4055680952792931,0.6368422844624037,0.4345055050505052,2.9783100000000005,0
full,2,2,792,198,gbr,0.7831541866419602,0.4614825390743305,0.6793250614207682,0.47231954910645124,3.278866325159111,0
full,2,2,792,198,svr,0.7592997053329495,0.5122486868376129,0.7157155069143136,0.4747818436130589,3.929673485672998,0
full,2,2,792,198,mlp,0.8486716520497761,0.3220509041172312,0.5674952899515829,0.37662939158955,3.379878414154053,0
full,2,2,792,198,pinn,0.8582413072878082,0.3016851487036311,0.5492587265612,0.3666991073567457,3.3003462677001956,1
full,2,2,792,198,stack_ridge,0.8634353167625874,0.29063146662751205,0.5391024639412364,0.36019491010599486,3.3121339111752475,0
full,2,2,792,198,stack_nnls,0.860133109270207,0.29765909180751865,0.5455814254605069,0.35858194028632173,3.4211327812496384,0
full,2,3,792,198,prior_xgb,0.8762276743096568,0.3477887461257078,0.5897361665403503,0.4020743629571163,3.4365862655639656,0
full,2,3,792,198,prior_gbr,0.8683519914250508,0.3699186839776756,0.6082094079983271,0.41846574607989295,2.8467401749413765,0
full,2,3,792,198,prior_rf,0.8567076691325738,0.4026381487449129,0.6345377441452265,0.44284122252055697,3.050192500000005,0
full,2,3,792,198,rf,0.8469681946373924,0.4300051680176768,0.6557477929948958,0.450666616161616,3.1602900000000016,0
full,2,3,792,198,gbr,0.8439210620808495,0.4385673276539933,0.6622441601509169,0.4850326786677487,2.048775238720273,0
full,2,3,792,198,svr,0.8003052907760051,0.5611235964225696,0.7490818355978001,0.5178863792878339,3.463067972678222,0
full,2,3,792,198,mlp,0.8781400525461983,0.34241514079596014,0.5851624909338945,0.3919400445921253,3.0298570289611817,0
full,2,3,792,198,pinn,0.8890713430015659,0.31169922930440774,0.5583003038727524,0.3801813309042141,2.3744419708251954,1
full,2,3,792,198,stack_ridge,0.902712842212865,0.27336788278158247,0.5228459455533556,0.36467646813199806,2.422310332125216,0
full,2,3,792,198,stack_nnls,0.9001335370614765,0.28061549083510856,0.5297315271296476,0.3668700137868421,2.405190950190614,0
full,2,4,792,198,prior_xgb,0.778242078531695,0.37862909755407825,0.6153284468916403,0.4046055530291615,2.7217922592163086,0
full,2,4,792,198,prior_gbr,0.733728600502427,0.45463133415343193,0.6742635494770809,0.42499148931787695,2.9030877097215457,0
full,2,4,792,198,prior_rf,0.7204054606233105,0.477379240499306,0.6909263640210193,0.44856413030496173,2.9450028670075175,0
full,2,4,792,198,rf,0.7101184917720684,0.49494319360151506,0.703521992265711,0.45384843434343425,3.080470000000001,0
full,2,4,792,198,gbr,0.6872640626841191,0.5339648069147547,0.7307289558480317,0.49009864671653053,3.197843603836956,0
full,2,4,792,198,svr,0.7072594056547797,0.4998247923703471,0.7069828798283216,0.48476492586954106,3.1794249271832777,0
full,2,4,792,198,mlp,0.7932131335919741,0.3530675436335971,0.5941948700835418,0.3951438391873932,2.4973467903137205,2
full,2,4,792,198,pinn,0.804193424501167,0.3343198136300799,0.5782039550453455,0.3996707758891462,2.420729913711548,1
full,2,4,792,198,stack_ridge,0.7850420942986118,0.3670187622112247,0.6058207343853664,0.3908820262379252,2.831090238771216,1
full,2,4,792,198,stack_nnls,0.785638654092069,0.3660001970355675,0.6049795013350184,0.3896601104120905,2.8970859268292433,0
geometry_only,0,0,792,198,prior_xgb,0.8343687068586647,0.3928470196371168,0.6267750949400565,0.4096343967536032,3.104254476547241,1
geometry_only,0,0,792,198,prior_gbr,0.8384919715014777,0.3830673928807044,0.618924383814941,0.4253326426784308,2.849724502753083,1
