repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
0,1,792,198,0.8792089816468915,0.3121094629553314,0.5586675782210128,0.38919361903209876,2.11095792388916,1,in_sample_prior
0,2,792,198,0.8648441194895226,0.3137632162344038,0.5601457098241526,0.39498110234376155,2.6903582935333255,0,in_sample_prior
0,3,792,198,0.8603067376079667,0.3930615324572705,0.6269461958232704,0.45715027236456823,2.4854100131988526,0,in_sample_prior
0,4,792,198,0.7731715107071022,0.4165380531754943,0.6453975930970725,0.44754553600754404,3.2956347618103026,0,in_sample_prior
1,5,792,198,0.8570651423930872,0.29132890046144666,0.539748923538942,0.39936960393491416,2.692482063293457,3,in_sample_prior
1,6,792,198,0.838568278073348,0.3826982758542596,0.6186261196023488,0.4277546489527731,3.1566581621170045,1,in_sample_prior
1,7,792,198,0.8189310616477201,0.43744096281914135,0.6613931983465973,0.4204045693200044,3.1666959648132327,0,in_sample_prior
1,8,792,198,0.8942863355289947,0.29181585626920226,0.5401998299418487,0.4242379151161271,1.9782719116210936,3,in_sample_prior
1,9,792,198,0.8454648816323335,0.3581745667536738,0.5984768723632299,0.40209949609968404,3.003525964736938,0,in_sample_prior
2,10,792,198,0.8944344444231522,0.29556321066554037,0.5436572547713682,0.38503141559494863,2.04754776763916,3,in_sample_prior
2,11,792,198,0.8526648376802964,0.3671801639826235,0.6059539289274586,0.4150069555706448,2.183531974792481,1,in_sample_prior
2,12,792,198,0.8027533256165604,0.41977243972952427,0.6478984794931412,0.4306992777983347,3.148802173614502,4,in_sample_prior
2,13,792,198,0.8361690485761759,0.4603497660278593,0.6784908002529285,0.44591632428554573,2.908273582458497,1,in_sample_prior
2,14,792,198,0.7038324045636807,0.5056760481985414,0.7111090269421008,0.4607971241594565,3.3479136543273924,3,in_sample_prior
3,15,792,198,0.8324135033146416,0.3463641889720583,0.588527135289494,0.414819416686742,2.146557107925415,2,in_sample_prior
3,16,792,198,0.8589307337519314,0.3938844310521043,0.6276021279856405,0.43417211666974154,2.3244952087402346,3,in_sample_prior
3,17,792,198,0.89967121990971,0.27241347865166726,0.5219324464446211,0.35407824391548076,2.3085112953186036,0,in_sample_prior
3,18,792,198,0.857014475008385,0.32878557218932064,0.5733982666431079,0.382151378947075,2.7677855606079103,1,in_sample_prior
3,19,792,198,0.7489821611188732,0.5169397372948847,0.7189852135439816,0.49133170817355915,3.3104485054016113,3,in_sample_prior
4,20,792,198,0.8236106997286803,0.4286718445945267,0.6547303602205465,0.4580107540795298,2.3859996223449706,3,in_sample_prior
