Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Rh2O2Br2,0.114,-0.524,No,pmmn,Rectangular (op),0.677,5.353,-30.854,13.72,3.708,ABC,
Au4Se4O12,0.064,-0.399,No,p2_1/b11,Rectangular (op),0.685,2.805,-95.929,80.931,1.118,ABC3,0
TiHf3Te8,0.132,-0.666,No,pm2m,Rectangular (op),0.688,3.732,-62.843,51.886,4.162,AB3C8,
ZrHf3Te8,0.127,-0.72,No,pm2m,Rectangular (op),0.69,3.71,-64.203,53.022,4.183,AB3C8,
Hf2Ti2Te8,0.129,-0.636,No,pm2m,Rectangular (op),0.692,3.694,-61.667,50.754,4.149,ABC4,
Ru2O4,0.163,-0.925,No,p2_1/m11,Rectangular (op),0.693,2.461,-44.976,14.784,3.655,AB2,
Tl2Pb2P2,0.057,0.046,No,pm2_1n,Rectangular (op),0.7,4.195,-22.965,28.097,3.087,ABC,0
Mn2Sb2I2Se4,0.116,-0.266,Yes,p2/m11,Rectangular (op),0.701,4.254,-47.79,44.718,1.756,ABCD2,9.946
NiPd3Se8,0.016,-0.266,No,p2/m11,Rectangular (op),0.702,2.657,-49.763,47.084,3.515,AB3C8,0
V2SeSI2,0.051,-0.665,Yes,pm11,Rectangular (op),0.71,5.846,-31.555,19.086,3.997,ABC2D2,4
Li2V4O10,0.037,-2.292,Yes,pmmn,Rectangular (op),0.712,4.664,-125.787,41.327,1.419,AB2C5,1.996
Hf2Zr2Te8,0.121,-0.742,No,pm2m,Rectangular (op),0.717,3.72,-64.367,53.083,4.174,ABC4,
Rh2S2F2,0.095,-1.005,No,pm2_1n,Rectangular (op),0.72,4.063,-31.655,17.319,3.295,ABC,0
Nb4Si2Te8,0.002,-0.518,No,pbam,Rectangular (op),0.722,3.768,-84.996,50.676,2.506,AB2C4,
ZrTi3Te8,0.114,-0.635,No,pm2m,Rectangular (op),0.722,3.647,-60.726,49.645,4.138,AB3C8,
HfTi3Te8,0.119,-0.613,No,pm2m,Rectangular (op),0.724,3.641,-60.574,49.623,4.143,AB3C8,
Be4Tl4As4,0.082,0.021,No,pmma,Rectangular (op),0.735,5.935,-43.197,35.462,3.182,ABC,0
Zr2Ti2Te8,0.118,-0.68,No,pm2m,Rectangular (op),0.744,3.714,-61.981,50.893,4.13,ABC4,
Ag2Te2,0.11,0.059,No,p2/m11,Rectangular (op),0.756,2.966,-11.852,25.763,2.458,AB,
Rh2O2Cl2,0.07,-0.651,No,pmmn,Rectangular (op),0.759,5.079,-32.018,13.394,3.662,ABC,
HfZr3Te8,0.115,-0.765,No,pm2m,Rectangular (op),0.766,3.728,-64.531,53.167,4.163,AB3C8,
TiZr3Te8,0.115,-0.732,No,pm2m,Rectangular (op),0.793,3.765,-63.321,52.107,4.131,AB3C8,
Co2O2Br2,0.079,-0.679,No,pmmn,Rectangular (op),0.801,5.142,-33.952,11.903,3.803,ABC,
Ti2Br4,0,-1.178,No,p2_1/m11,Rectangular (op),0.817,3.796,-26.787,21.422,3.636,AB2,0
Ta4S12,0,-0.844,No,p2_1/m11,Rectangular (op),0.823,6.603,-101.702,39,2.691,AB3,0
WCr3Te8,0.097,-0.098,No,pm2m,Rectangular (op),0.841,3.528,-66.521,42.363,4.59,AB3C8,
Cu2As2S4,0.054,-0.152,No,pm2_1b,Rectangular (op),0.845,4.971,-34.21,22.154,2.055,ABC2,0
Au2O2,0.007,-0.01,No,p2/m11,Rectangular (op),0.865,1.475,-16.547,18.967,2.137,AB,
Tl2O2I2,0.054,-0.501,No,pmmn,Rectangular (op),0.865,6.56,-21.209,16.894,4.168,ABC,
Al2Te2I2,0.101,-0.468,No,pmmn,Rectangular (op),0.87,6.198,-19.651,22.596,3.731,ABC,0
W2Cr2Te8,0.082,-0.093,No,pm2m,Rectangular (op),0.876,3.588,-68.544,42.948,4.651,ABC4,
Au4I8,0.034,-0.032,No,p2/b11,Rectangular (op),0.88,3.401,-24.731,72.503,1.58,AB2,0
Hf2Se6,0.003,-1.016,No,pmmn,Rectangular (op),0.885,6.194,-44.039,20.449,5.138,AB3,
Ni4S4,0.096,-0.282,No,pbma,Rectangular (op),0.888,2.552,-47.558,28.429,2.923,AB,0
Zr2I4,0,-0.911,No,p2_1/m11,Rectangular (op),0.889,4.402,-26.186,26.052,4.111,AB2,0
MoCr3Te8,0.087,-0.149,No,pm2m,Rectangular (op),0.893,3.532,-66.85,42.264,4.576,AB3C8,
Cr2Se2I2,0,-0.522,Yes,pmmn,Rectangular (op),0.895,6.105,-31.872,19,4.003,ABC,6
Cu2Bi2S4,0.104,-0.201,No,pm2_1b,Rectangular (op),0.896,5.229,-34.624,24.473,1.988,ABC2,
Ba4Sb4Te8F4,0.049,-1.582,No,p2_1/b11,Rectangular (op),0.896,12.657,-88.558,41.535,3.822,ABCD2,0
Sn2Te2,0.063,-0.215,No,pm2_1n,Rectangular (op),0.897,3.155,-15.384,20.827,3.59,AB,
Hg4Te4,0.044,-0.159,No,p2/m11,Rectangular (op),0.899,5.491,-17.632,37.223,3.534,AB,0
Cr2Se2Cl2,0.026,-0.834,Yes,pmmn,Rectangular (op),0.914,5.451,-34.354,17.833,3.632,ABC,6.001
Rh2S2F2,0.039,-1.061,No,pmmn,Rectangular (op),0.918,4.751,-31.989,15.653,3.519,ABC,0
Ti2Br2Cl2,0.013,-1.348,No,pm11,Rectangular (op),0.919,3.661,-28.206,20.387,3.394,ABC,0
CrW3Te8,0.056,-0.099,No,pm2m,Rectangular (op),0.937,3.716,-70.695,43.312,4.714,AB3C8,
Hg4Se4,0.04,-0.205,No,p2/m11,Rectangular (op),0.937,5.317,-19.113,32.925,3.463,AB,0
Ag4H4O4Br4,0.094,-0.49,No,p2_1/b11,Rectangular (op),0.938,5.195,-59.325,41.773,1.653,ABCD,0
Au2Hg2Se2I2,0.087,-0.146,No,pm2_1b,Rectangular (op),0.94,5,-19.123,33.885,1.727,ABCD,0
Bi2H2Se4,0.006,-0.237,No,p2_1/m11,Rectangular (op),0.958,6.603,-31.824,25.048,3.449,ABC2,0
Pd4As4Te4,0.067,-0.271,No,p2/b11,Rectangular (op),0.967,4.828,-50.007,39.56,2.381,ABC,0
Ag4Cl8,0.004,-0.36,No,p2/b11,Rectangular (op),0.971,2.742,-29.959,56.863,1.38,AB2,0
Hf2Sn2Te8,0.033,-0.488,No,pm2_1n,Rectangular (op),0.973,7.594,-54.624,47.066,2.274,ABC4,0
Mo2Cr2Te8,0.067,-0.19,No,pm2m,Rectangular (op),0.98,3.584,-69.139,42.794,4.621,ABC4,
Rh2SeSI2,0.077,-0.343,No,pm11,Rectangular (op),0.98,5.44,-26.867,18.34,4.341,ABC2D2,0
Ru2Cl8,0,-0.462,Yes,p2_1/b11,Rectangular (op),0.983,4.142,-37.828,37.494,1.733,AB4,3.997
Ag4H4O4Cl4,0.099,-0.531,No,p2_1/b11,Rectangular (op),0.986,4.932,-60.786,40.595,1.62,ABCD,0
In4Te6,0.034,-0.285,No,pm2_1n,Rectangular (op),0.995,8.39,-33.128,32,2.804,A2B3,0
Zr2I2Cl2,0.071,-1.237,No,pm11,Rectangular (op),0.997,4.091,-28.753,23.797,3.788,ABC,0
Ti2Cl4,0,-1.544,No,p2_1/m11,Rectangular (op),0.997,3.528,-29.784,19.213,3.664,AB2,0
Ir2S2I2,0.039,-0.265,No,pmmn,Rectangular (op),0.998,6.005,-31.254,17.268,4.484,ABC,
Zr2I2Br2,0.021,-1.104,No,pm11,Rectangular (op),0.998,4.239,-27.558,24.539,3.811,ABC,0
Sr4As4Te8F4,0.06,-1.511,No,p2_1/b11,Rectangular (op),1.004,12.256,-87.553,37.268,3.622,ABCD2,0
Os2O4,0.138,-0.838,No,p2_1/m11,Rectangular (op),1.005,2.501,-47.906,14.994,3.91,AB2,
Cr2Se2Br2,0.007,-0.7,Yes,pmmn,Rectangular (op),1.009,5.745,-33.149,18.282,3.677,ABC,6
Os2Cl8,0.042,-0.363,Yes,p2_1/b11,Rectangular (op),1.01,4.189,-40.292,37.451,1.8,AB4,3.993
Cu2O2,0.079,-0.457,No,p2/m11,Rectangular (op),1.013,1.205,-19.429,15.715,1.798,AB,
Hf2I4,0.063,-0.725,No,p2_1/m11,Rectangular (op),1.014,4.49,-25.278,25.378,4.215,AB2,
Pb6S6,0.074,-0.494,No,pm2m,Rectangular (op),1.017,5.817,-52.948,36.064,4.298,AB,0
Co2O2Cl2,0.012,-0.846,No,pmmn,Rectangular (op),1.027,4.853,-35.353,11.532,3.741,ABC,
Ag2F4,0.024,-1.222,Yes,p2_1/b11,Rectangular (op),1.028,1.969,-19.359,22.502,1.109,AB2,1.692
Zr2Sn2Te8,0.012,-0.551,No,pm2_1n,Rectangular (op),1.029,7.609,-55.173,47.169,2.263,ABC4,0
Nb4S12,0.002,-0.82,No,p2_1/m11,Rectangular (op),1.03,6.232,-103.369,34.014,3.051,AB3,
Ag4Se4I4,0.097,-0.082,No,p2_1/b11,Rectangular (op),1.031,4.832,-32.186,52.724,1.912,ABC,0
Zr2Se6,0,-1.078,No,pmmn,Rectangular (op),1.031,6.223,-44.329,20.681,5.061,AB3,
Ir2IBrS2,0.023,-0.329,No,pmm2,Rectangular (op),1.045,5.856,-31.742,17.006,4.416,ABC2D2,0
Fe2Se4,0.061,-0.299,No,p2_1/m11,Rectangular (op),1.053,3.179,-33.81,18.888,4.078,AB2,
MnGeTe2SCl,0.093,-0.347,Yes,pm11,Rectangular (op),1.06,4.768,-28.589,23.341,3.373,ABCDE2,3.999
Hf2Ge2Te8,0.008,-0.464,No,pm2_1n,Rectangular (op),1.067,7.42,-55.247,44.457,2.303,ABC4,
Au2Te2,0,-0.105,No,p2/m11,Rectangular (op),1.067,2.792,-13.09,26.609,2.48,AB,
Ru2Te4,0.117,-0.219,No,p2_1/m11,Rectangular (op),1.071,3.616,-33.057,23.437,4.356,AB2,
Si2Te4,0.055,0.005,No,p2_111,Rectangular (op),1.088,5.136,-23.587,26.43,3.327,AB2,0
Au2Hg2Te2Cl2,0.089,-0.265,No,pm2_1b,Rectangular (op),1.09,4.044,-20.131,33.975,1.592,ABCD,0
Cu4Te4I4,0.004,-0.14,No,p2_1/b11,Rectangular (op),1.097,4.733,-35.116,50.991,1.991,ABC,0
Au2Hg2Te2I2,0.054,-0.168,No,pm2_1b,Rectangular (op),1.098,4.843,-18.742,36.501,1.722,ABCD,0
Ag4Te4I4,0.062,-0.117,No,p2_1/b11,Rectangular (op),1.098,4.897,-31.496,57.079,1.949,ABC,0
Au4Se4,0,-0.123,No,pmma,Rectangular (op),1.1,4.885,-27.435,28.063,3.594,AB,0
Ge2Te2,0.06,-0.039,No,pm2_1n,Rectangular (op),1.103,3.036,-15.598,18.508,3.573,AB,
Sn4Sb8,0.02,0.02,No,pm2_1b,Rectangular (op),1.104,6.854,-51.229,50.847,2.123,AB2,0
CrMo3Te8,0.035,-0.244,No,pm2m,Rectangular (op),1.105,3.688,-71.578,43.195,4.666,AB3C8,
Cu2Se2,0.101,-0.04,No,p2/m11,Rectangular (op),1.116,2.77,-14.479,18.266,2.595,AB,
Zr2Ge2Te8,0.007,-0.522,No,pm2_1n,Rectangular (op),1.116,7.451,-55.739,44.634,2.286,ABC4,
Ag2O2,0.058,-0.046,No,p2/m11,Rectangular (op),1.126,1.219,-16.113,19.139,1.855,AB,
Rh2O2F2,0.026,-1.125,No,pmmn,Rectangular (op),1.129,4.454,-34.469,12.684,3.225,ABC,0
Zr2Se4,0.08,-1.287,No,pmmn,Rectangular (op),1.131,3.107,-36.461,25.636,3.719,AB2,0
Cu4Te4Br4,0,-0.25,No,p2_1/b11,Rectangular (op),1.135,4.331,-36.862,49.362,1.817,ABC,0
Au2Hg2Te2Br2,0.074,-0.223,No,pm2_1b,Rectangular (op),1.138,3.992,-19.393,35.055,1.615,ABCD,0
Zr2Br4,0,-1.34,No,p2_1/m11,Rectangular (op),1.14,4.086,-29.181,22.712,3.766,AB2,0
Y4Te4Br4,0.034,-1.614,No,pmma,Rectangular (op),1.144,4.237,-57.288,61.87,3.258,ABC,0
Sb2H2Se4,0,-0.17,No,p2_1/m11,Rectangular (op),1.144,6.617,-30.751,24.856,3.303,ABC2,0
Zr2Br2Cl2,0.024,-1.499,No,pm11,Rectangular (op),1.147,3.943,-30.538,21.789,3.63,ABC,0
Hf2I2Br2,0.054,-0.922,No,pm11,Rectangular (op),1.15,4.329,-26.672,23.9,3.913,ABC,0
PdNiS4,0.079,-0.219,No,p2/m11,Rectangular (op),1.153,2.471,-28.695,20.7,3.465,ABC4,0
Hf2Si2Te8,0.012,-0.43,No,pm2_1n,Rectangular (op),1.157,7.352,-56.612,43.507,2.31,ABC4,0
Cu4S4I4,0.038,-0.11,No,p2_1/b11,Rectangular (op),1.158,4.743,-38.248,42.781,1.998,ABC,0
