Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Cu2Hg2Se2I2,0.03,-0.219,No,pm2_1b,Rectangular (op),1.963,4.965,-20.8,31.23,1.71,ABCD,0
Rh2Te2Br2,0,-0.513,No,p2_1/m11,Rectangular (op),1.965,2.944,-26.951,25.922,1.907,ABC,0
Pb2I4,0.055,-0.637,No,pmmn,Rectangular (op),1.965,3.745,-17.255,37.747,3.12,AB2,0
Si4Sb4Te4,0.083,0.014,No,p2_122,Rectangular (op),1.966,3.596,-51.874,59.63,1.76,ABC,0
Sr4As4F4Se8,0,-1.698,No,p2_1/b11,Rectangular (op),1.976,11.2,-93.52,34.904,3.36,ABCD2,0
Hf2Sn2S8,0.078,-0.919,No,pm2_1n,Rectangular (op),1.977,6.993,-66.779,39.543,2.045,ABC4,0
In3I3,0.089,-0.399,No,pm2m,Rectangular (op),1.984,4.872,-15.117,34.787,2.757,AB,0
Sn2S2,0.043,-0.415,No,pm2_1n,Rectangular (op),1.987,2.864,-17.928,17.575,3.313,AB,
Ag2F2S4,0.006,-0.552,No,p2_111,Rectangular (op),1.99,2.616,-29.581,36.61,2.16,ABC2,0
Au4Se4Br4,0,-0.182,No,p2_1/b11,Rectangular (op),1.991,4.224,-34.974,52.101,1.744,ABC,0
Au4S4Br4,0.006,-0.1,No,p2_1/b11,Rectangular (op),2,4.18,-36.37,49.128,1.737,ABC,0
Pt2Te4,0.144,-0.276,No,p2_1/b11,Rectangular (op),2.001,1.713,-27.181,39.15,2.896,AB2,
Cu2Hg2Se2F2,0.038,-0.698,No,pm2_1b,Rectangular (op),2.003,3.903,-24.849,26.456,1.425,ABCD,0
Ga2Se2I2,0.007,-0.567,No,pm2_1n,Rectangular (op),2.003,6.403,-19.131,22.584,2.103,ABC,0
RhGaO2Cl2,0.057,-1.106,No,pmm2,Rectangular (op),2.004,5.135,-30.506,13.139,3.85,ABC2D2,0
Hf2Ge2S8,0.061,-0.909,No,pm2_1n,Rectangular (op),2.006,6.732,-67.571,36.585,2.074,ABC4,0
Ag2Hg2S2I2,0.02,-0.213,No,pm2_1b,Rectangular (op),2.009,4.947,-20.266,32.698,1.656,ABCD,0
Au2S2,0,-0.091,No,p2/m11,Rectangular (op),2.01,2.314,-14.78,22.261,2.438,AB,
Pd2Br4,0.016,-0.358,No,p2_1/b11,Rectangular (op),2.012,2.73,-16.129,30.091,2.612,AB2,0
Zr2Ti2S8,0.18,-1.267,No,pm2a,Rectangular (op),2.013,3.25,-76.018,41.657,3.861,ABC4,
Pd2S4,0.002,-0.294,No,p2_1/b11,Rectangular (op),2.015,1.273,-25.717,30.612,2.605,AB2,
Pd4I8,0,-0.254,No,p2_1/b11,Rectangular (op),2.017,5.914,-30.155,65.262,1.561,AB2,
Ni4P4Se4,0.026,-0.304,No,p2/b11,Rectangular (op),2.021,4.237,-68.025,31.513,2.29,ABC,0
Si4As8,0.003,-0.08,No,pm2_1b,Rectangular (op),2.023,6.01,-59.857,38.866,1.963,AB2,0
Cr2S2Br2,0.003,-0.807,Yes,pmmn,Rectangular (op),2.023,5.666,-34.982,16.814,3.699,ABC,6
Cu2Cl4,0.003,-0.506,Yes,p2_1/b11,Rectangular (op),2.023,2.631,-17.528,23.351,1.579,AB2,1.987
In2O2I2,0.031,-1.098,No,pmmn,Rectangular (op),2.026,6.33,-25.317,15.832,4.261,ABC,
Tl2Ga2O6,0.08,-1.188,No,pm2_1n,Rectangular (op),2.03,5.932,-53.428,18.352,2.317,ABC3,0
Cu2Hg2S2I2,0.04,-0.221,No,pm2_1b,Rectangular (op),2.038,5.116,-22.008,29.21,1.742,ABCD,0
Tl2O2Cl2,0.001,-0.723,No,pmmn,Rectangular (op),2.039,5.883,-23.151,15.953,3.73,ABC,
In2Se3,0.051,-0.482,No,pm11,Rectangular (op),2.04,3.492,-18.386,28.107,2.688,A2B3,0
Ge4P8,0.002,0.002,No,pm2_1b,Rectangular (op),2.044,5.68,-60.954,37.02,1.997,AB2,0
Ba4Sb4F4Se8,0,-1.769,No,p2_1/b11,Rectangular (op),2.045,11.319,-94.534,39.596,3.499,ABCD2,0
Ag2Cd2Te2I2,0.034,-0.344,No,pm2_1b,Rectangular (op),2.047,5.026,-19.656,36.845,1.622,ABCD,0
Pd2Se4,0.004,-0.287,No,p2_1/b11,Rectangular (op),2.048,1.487,-23.294,34.042,2.639,AB2,
Ir2Te2Cl2,0.048,-0.363,No,p2_1/m11,Rectangular (op),2.05,2.649,-30.711,25.477,1.95,ABC,0
K2Ta2I12,0,-0.735,No,p2_111,Rectangular (op),2.053,11.272,-51.57,65.77,2.071,ABC6,0
In2Te2I2,0.005,-0.446,No,pm2_1n,Rectangular (op),2.054,6.414,-17.566,28.439,2.093,ABC,0
Ag2Te4Br2,0,-0.193,No,p2_111,Rectangular (op),2.055,3.412,-23.215,48.514,2.642,ABC2,
Cu2Hg2Te2Cl2,0.025,-0.332,No,pm2_1b,Rectangular (op),2.058,3.97,-21.76,31.66,1.553,ABCD,0
Sb4Se6,0.051,-0.212,No,pm2_1n,Rectangular (op),2.061,3.136,-40.646,58.108,1.476,A2B3,0
Pt4As4S4,0.06,-0.4,No,p2/b11,Rectangular (op),2.061,4.542,-65.178,34.379,2.486,ABC,0
W2Mo2S8,0,-0.9,No,pm2m,Rectangular (op),2.062,3.134,-88.804,35.175,4.584,ABC4,
MoW3S8,0,-0.888,No,pm2m,Rectangular (op),2.064,3.139,-88.937,35.184,4.613,AB3C8,
Ir2S2Br2,0.05,-0.348,No,p2_1/m11,Rectangular (op),2.065,2.936,-31.966,22.912,1.952,ABC,0
Ir2Se2Br2,0.028,-0.308,No,p2_1/m11,Rectangular (op),2.067,2.856,-30.535,24.358,1.937,ABC,0
WMo3S8,0,-0.912,No,pm2m,Rectangular (op),2.076,3.13,-88.656,35.159,4.556,AB3C8,
Cu2Hg2Te2I2,0.028,-0.186,No,pm2_1b,Rectangular (op),2.078,4.837,-19.979,34.008,1.694,ABCD,0
In8Se12,0.019,-0.515,No,p2_1/b11,Rectangular (op),2.081,4.621,-74.194,92.823,1.723,A2B3,0
Ag2Cd2Se2Cl2,0.078,-0.532,No,pm2_1b,Rectangular (op),2.081,3.985,-22.325,32.409,1.471,ABCD,0
Sb8O4Se8,0.027,-0.602,No,p2_1/m11,Rectangular (op),2.083,3.6,-95.649,89.805,1.627,AB2C2,0
Hf2Ti2S8,0.192,-1.259,No,pm2a,Rectangular (op),2.084,3.238,-76.121,41.34,3.893,ABC4,
Ti2N2Br2,0,-1.415,No,pmmn,Rectangular (op),2.084,5.515,-41.746,13.327,4.021,ABC,
Pd4P4S4,0,-0.456,No,p2/b11,Rectangular (op),2.09,4.198,-58.528,32.705,2.345,ABC,
Sr4Sb4F4S8,0,-1.818,No,p2_1/b11,Rectangular (op),2.092,10.657,-99.651,34.082,3.3,ABCD2,0
Ti2N2Cl2,0.001,-1.574,No,pmmn,Rectangular (op),2.092,5.245,-43.101,12.952,3.943,ABC,
Ag2Te4Cl2,0,-0.248,No,p2_111,Rectangular (op),2.098,3.007,-24.054,48.168,2.554,ABC2,
Cu2I2Se4,0,-0.143,No,p2_122,Rectangular (op),2.099,3.559,-25.386,40.397,2.849,ABC2,
Cu2Hg2S2Br2,0.039,-0.304,No,pm2_1b,Rectangular (op),2.101,4.579,-22.877,28.314,1.616,ABCD,0
Na4Sb4S8,0.037,-0.672,No,p2_1/b11,Rectangular (op),2.102,8.665,-66.235,34.51,2.85,ABC2,0
Na4Sb4S8,0.037,-0.672,No,pb2_1a,Rectangular (op),2.102,8.666,-66.23,34.541,2.803,ABC2,0
Ag2Cd2Se2Br2,0.054,-0.476,No,pm2_1b,Rectangular (op),2.102,4.523,-21.476,33.11,1.503,ABCD,0
Ir2S2F2,0.043,-0.877,No,p2_1/m11,Rectangular (op),2.104,2.262,-35.14,20.499,1.718,ABC,0
AuInF4,0.079,-1.911,No,p2/m11,Rectangular (op),2.106,2.35,-23.704,23.448,2.171,ABC4,0
Hf2S6,0,-1.209,No,pmmn,Rectangular (op),2.109,5.889,-49.149,18.646,5.001,AB3,
Rh2Te2Cl2,0,-0.594,No,p2_1/m11,Rectangular (op),2.113,2.733,-27.839,24.945,1.889,ABC,
Ag2Cd2Te2Br2,0.062,-0.419,No,pm2_1b,Rectangular (op),2.114,4.091,-20.462,35.801,1.517,ABCD,0
Rh2Te2F2,0.097,-1.017,No,p2_1/m11,Rectangular (op),2.115,2.645,-29.982,22.972,1.688,ABC,0
Ti2BrClN2,0,-1.501,No,pmm2,Rectangular (op),2.117,5.376,-42.459,13.147,4.17,ABC2D2,0
Pt2Br4,0.017,-0.251,No,p2_1/b11,Rectangular (op),2.118,2.618,-20.555,31.575,2.608,AB2,0
PtSnS4,0,-0.422,No,p2/m11,Rectangular (op),2.122,2.81,-29.254,22.88,3.602,ABC4,0
Ir2BrClS2,0.053,-0.396,No,pm11,Rectangular (op),2.127,2.824,-32.452,22.48,3.574,ABC2D2,0
VOICl,0.017,-1.377,Yes,pm11,Rectangular (op),2.129,3.539,-22.418,14.179,3.196,ABCD,1
Rh2S2Br2,0.002,-0.523,No,p2_1/m11,Rectangular (op),2.135,3.021,-28.758,22.553,1.871,ABC,0
Pd2Br2F2,0.031,-0.799,No,pb11,Rectangular (op),2.137,2.148,-18.778,27.617,2.301,ABC,0
Bi2Br6,0.029,-0.763,No,pmma,Rectangular (op),2.138,3.808,-24.957,44.684,2.707,AB3,0
Rh2Se2Br2,0,-0.519,No,p2_1/m11,Rectangular (op),2.14,2.973,-27.541,23.888,1.871,ABC,0
Cu4H4O4Br4,0.03,-0.635,Yes,p2_1/b11,Rectangular (op),2.143,4.94,-65.003,35.765,1.737,ABCD,3.962
Sr4Sb4Cl4Se8,0.049,-1.25,No,p2_1/b11,Rectangular (op),2.144,10.712,-84.326,43.004,3.098,ABCD2,0
Cr2S2Cl2,0,-0.946,Yes,pmmn,Rectangular (op),2.144,5.374,-36.222,16.421,3.643,ABC,6
Ag2Te3Br2P4,0.072,-0.065,No,pm11,Rectangular (op),2.153,4.54,-40.632,60.187,1.401,A2B2C3D4,0
Ag2Cd2Te2Cl2,0.085,-0.476,No,pm2_1b,Rectangular (op),2.153,3.785,-21.319,34.668,1.498,ABCD,0
Zr2S4,0.184,-1.402,No,pm2_1n,Rectangular (op),2.154,3.245,-39.529,22.114,3.935,AB2,0
Sc2Se2F2,0,-2.691,No,pmmn,Rectangular (op),2.156,4.288,-35.605,18.941,2.842,ABC,0
Ga2Te2I2,0.003,-0.444,No,pm2_1n,Rectangular (op),2.157,6.234,-17.838,25.797,2.058,ABC,0
Ge4Sb4Se4,0.04,-0.138,No,p2_122,Rectangular (op),2.165,3.378,-51.278,58.62,1.69,ABC,0
Cu2Te4I2,0.009,-0.124,No,p2_122,Rectangular (op),2.166,3.427,-24.121,45.531,2.908,ABC2,
MoAgBr4,0.04,-0.482,Yes,p2/m11,Rectangular (op),2.166,3.08,-23.272,29.201,2.82,ABC4,2.999
Cu2Hg2Te2Br2,0.021,-0.267,No,pm2_1b,Rectangular (op),2.166,4.106,-20.84,32.656,1.581,ABCD,0
Ag2Sb4I2S3,0.076,-0.149,No,pm11,Rectangular (op),2.167,5.135,-40.138,52.636,1.694,A2B2C3D4,0
Ir2Se2F2,0.09,-0.792,No,p2_1/m11,Rectangular (op),2.172,2.439,-33.442,21.774,1.71,ABC,0
Au2I2Se3P4,0.097,-0.009,No,pm11,Rectangular (op),2.172,4.499,-41.22,59.706,1.389,A2B2C3D4,0
Ni4P4S4,0,-0.387,No,p2/b11,Rectangular (op),2.172,4.022,-71.408,29.614,2.269,ABC,0
Ni4Br8,0.098,-0.308,No,p2_1/b11,Rectangular (op),2.174,5.306,-45.366,50.784,1.383,AB2,0
Rh2S2F2,0,-1.1,No,p2_1/m11,Rectangular (op),2.175,2.308,-32.226,19.898,1.635,ABC,0
Ni2Se4,0.067,-0.191,No,p2_1/b11,Rectangular (op),2.183,1.375,-29.573,31.424,2.597,AB2,
Al2IBrS2,0.02,-0.987,No,pm11,Rectangular (op),2.192,6.063,-24.619,22.476,3.074,ABC2D2,0
Zr2S6,0,-1.254,No,pmmn,Rectangular (op),2.202,5.906,-49.304,18.927,4.91,AB3,
Cu2Br2S4,0,-0.223,No,p2_122,Rectangular (op),2.203,3.168,-28.62,36.454,2.548,ABC2,
Ag2Te3Cl2P4,0.09,-0.102,No,pm11,Rectangular (op),2.203,4.348,-41.45,59.84,1.364,A2B2C3D4,0
Ir2S2Cl2,0.052,-0.448,No,p2_1/m11,Rectangular (op),2.204,2.697,-32.967,22.087,1.938,ABC,0
In3F3,0.015,-1.748,No,pm2m,Rectangular (op),2.211,4.297,-23.535,18.441,2.923,AB,0
Bi8O4S8,0.048,-0.626,No,p2_1/m11,Rectangular (op),2.212,3.537,-103.041,89.702,1.557,AB2C2,0
Pt4I8,0,-0.168,No,p2_1/b11,Rectangular (op),2.212,5.864,-39.259,65.894,1.595,AB2,
Ag2Cd2Se2I2,0.049,-0.401,No,pm2_1b,Rectangular (op),2.214,5.156,-20.664,33.967,1.622,ABCD,0
Co2I2Br2,0.025,-0.217,Yes,pm2_1b,Rectangular (op),2.214,5.053,-23.884,27.417,2.826,ABC,6
Cr2I2Br2,0.106,-0.477,Yes,pb11,Rectangular (op),2.217,3.046,-27.807,29.164,3.122,ABC,8
Cr2IBrS2,0.038,-0.677,Yes,pm11,Rectangular (op),2.218,3.164,-34.097,23.08,3.39,ABC2D2,6
Sn2Se2,0.071,-0.361,No,pm2_1n,Rectangular (op),2.222,2.05,-16.522,24.16,2.588,AB,0
Rh2Se2F2,0,-1.058,No,p2_1/m11,Rectangular (op),2.223,2.476,-30.781,21.1,1.639,ABC,0
Ag2I2S4,0.048,-0.086,No,p2_122,Rectangular (op),2.223,4.529,-25.637,38.345,2.97,ABC2,
Al2Se2Cl2,0.084,-1.089,No,pmmn,Rectangular (op),2.225,5.269,-24.549,18.35,3.402,ABC,
Ag2Sb4I2Se3,0.079,-0.142,No,pm11,Rectangular (op),2.227,5.18,-38.274,56.012,1.674,A2B2C3D4,0
Ga2S2Cl2,0.125,-0.778,No,pmmn,Rectangular (op),2.23,5.313,-22.199,17.66,3.393,ABC,
Au4Se4Cl4,0,-0.255,No,p2_1/b11,Rectangular (op),2.23,3.862,-36.657,51.398,1.695,ABC,0
Ni2S4,0.035,-0.265,No,p2_1/b11,Rectangular (op),2.231,1.16,-32.398,27.9,2.546,AB2,
Cu2Sb4I2S3,0.095,-0.145,No,pm11,Rectangular (op),2.231,4.741,-41.768,48.119,1.754,A2B2C3D4,0
Au6I6,0.072,-0.026,No,pb2_1m,Rectangular (op),2.232,5.292,-27.96,59.207,2.923,AB,0
Ir2Se2Cl2,0.034,-0.396,No,p2_1/m11,Rectangular (op),2.235,2.628,-31.462,23.465,1.923,ABC,0
Si4Te4P4,0.035,-0.067,No,p2_122,Rectangular (op),2.239,3.978,-56.672,49.737,1.802,ABC,0
Al2Se2I2,0.061,-0.725,No,pmmn,Rectangular (op),2.239,6.088,-21.748,19.773,3.818,ABC,
Os2F8,0,-1.721,Yes,p2_1/b11,Rectangular (op),2.24,3.444,-52.289,27.129,1.499,AB4,4
Ag2Br2S4,0.026,-0.147,No,p2_122,Rectangular (op),2.242,3.89,-26.341,39.132,2.632,ABC2,
Sn4As4Se4,0.086,-0.202,No,p2_122,Rectangular (op),2.244,3.667,-51.234,60.255,1.658,ABC,0
Ag2Cl2S4,0.018,-0.201,No,p2_122,Rectangular (op),2.252,3.311,-27.169,40.248,2.446,ABC2,
Cu2Hg2Se2Br2,0.025,-0.3,No,pm2_1b,Rectangular (op),2.253,4.347,-21.66,30.091,1.596,ABCD,0
Pt2Br2Cl2,0.016,-0.33,No,pb11,Rectangular (op),2.255,2.511,-21.429,30.353,2.611,ABC,0
Sb2S2Cl2,0.019,-0.529,No,p2_1/m11,Rectangular (op),2.256,3.227,-23.715,28.99,2.998,ABC,0
Ag2Hg2Te2Br2,0.007,-0.29,No,pm2_1b,Rectangular (op),2.257,3.845,-19.348,36.311,1.508,ABCD,0
Cu4O4F4,0.066,-0.915,No,p2_1/b11,Rectangular (op),2.259,2.564,-52.531,31.802,1.31,ABC,0
Si4As4Te4,0.006,-0.061,No,p2_122,Rectangular (op),2.261,3.83,-53.798,53.313,1.76,ABC,0
Ag2Br2Se4,0,-0.184,No,p2_111,Rectangular (op),2.262,3.622,-24.254,43.519,2.575,ABC2,
Ga2S2Br2,0.121,-0.653,No,pmmn,Rectangular (op),2.265,5.647,-21.051,18.178,3.442,ABC,
Ag2Hg2Se2Br2,0.017,-0.301,No,pm2_1b,Rectangular (op),2.266,3.998,-19.993,33.957,1.503,ABCD,0
Ag2As4I2Se3,0.028,-0.123,No,pm11,Rectangular (op),2.269,4.943,-39.091,54.415,1.569,A2B2C3D4,0
Rh2S2Cl2,0,-0.627,No,p2_1/m11,Rectangular (op),2.27,2.797,-29.782,21.655,1.859,ABC,0
Cu2F2Se4,0,-0.65,No,p2_111,Rectangular (op),2.27,2.206,-29.66,37.555,2.169,ABC2,0
Rh2Se2Cl2,0,-0.613,No,p2_1/m11,Rectangular (op),2.271,2.754,-28.505,22.969,1.854,ABC,0
Ag2Hg2Te2Cl2,0.015,-0.342,No,pm2_1b,Rectangular (op),2.272,3.951,-20.17,35.346,1.471,ABCD,0
In2S2I2,0.021,-0.541,No,pmmn,Rectangular (op),2.281,6.476,-19.884,21.263,3.811,ABC,
VHBrO2,0.069,-1.532,Yes,pm11,Rectangular (op),2.282,3.393,-31.341,12.599,2.649,ABCD2,1
Cu2As4I2Se3,0.036,-0.118,No,pm11,Rectangular (op),2.282,4.655,-40.703,48.441,1.656,A2B2C3D4,0
Ru2F8,0,-1.855,Yes,p2_1/b11,Rectangular (op),2.286,3.407,-50.168,26.731,1.426,AB4,4
Li4P4S8,0.067,-0.615,No,pb2_1a,Rectangular (op),2.29,7.895,-71.476,28.675,2.833,ABC2,0
Zr2N2I2,0,-1.474,No,pmmn,Rectangular (op),2.29,6.342,-43.31,15.466,4.703,ABC,
Nb2I2O4,0,-2.093,No,p2_1/m11,Rectangular (op),2.295,7.37,-60.851,15.063,2.93,ABC2,
Pt2Se4,0.103,-0.31,No,p2_1/b11,Rectangular (op),2.297,1.503,-28.5,33.867,2.794,AB2,
Si4P8,0,-0.129,No,pm2_1b,Rectangular (op),2.298,5.626,-66.056,35.603,1.989,AB2,0
Cu2Te4Br2,0.012,-0.209,No,p2_122,Rectangular (op),2.299,3.081,-25.01,43.795,2.729,ABC2,
Cu2I2Se3P4,0.03,-0.088,No,pm11,Rectangular (op),2.302,4.557,-43.184,46.771,1.672,A2B2C3D4,0
Li2V2Au4O12,0.059,-1.118,No,pm2_1n,Rectangular (op),2.302,5.411,-117.201,65.755,1.168,ABC2D6,0
Cu2Hg2Se2Cl2,0.03,-0.363,No,pm2_1b,Rectangular (op),2.303,3.963,-22.56,29.299,1.565,ABCD,
Cu2Te4Cl2,0.009,-0.279,No,p2_122,Rectangular (op),2.308,2.772,-25.974,42.854,2.68,ABC2,
Cu2Sb4I2Se3,0.093,-0.128,No,pm11,Rectangular (op),2.313,4.855,-39.788,51.15,1.738,A2B2C3D4,0
Ba2Bi4S8,0.061,-0.811,No,p2_1/m11,Rectangular (op),2.313,7.961,-66.336,45.32,2.319,AB2C4,0
Cu2Br2Se4,0,-0.23,No,p2_122,Rectangular (op),2.315,3.17,-26.293,39.328,2.615,ABC2,
Bi2O2Br2,0.118,-1.036,No,pmmn,Rectangular (op),2.321,6.626,-28.983,17.298,4.105,ABC,
Cu6Cl6,0.016,-0.436,No,pm2_1n,Rectangular (op),2.322,7.305,-37.996,25.622,3.826,AB,0
Al2Se2Br2,0.067,-0.938,No,pmmn,Rectangular (op),2.322,5.623,-23.239,18.924,3.466,ABC,
Fe2Se2O8,0.073,-0.846,Yes,pm2_1n,Rectangular (op),2.323,3.628,-76.2,27.971,1.562,ABC4,7.999
Au4Br4,0.085,-0.075,No,pbma,Rectangular (op),2.327,3.351,-19.456,35.994,2.995,AB,0
Ti2N2F2,0,-2.297,No,pmmn,Rectangular (op),2.328,4.336,-47.039,12.066,3.268,ABC,0
Au2Ag2Cl8,0,-0.389,No,p2/b11,Rectangular (op),2.332,2.822,-30.882,58.727,1.357,ABC4,
Ba4Sb4Cl4Se8,0.024,-1.308,No,p2_1/b11,Rectangular (op),2.345,11.161,-86.1,46.598,3.198,ABCD2,0
Cu2Hg2S2Cl2,0.042,-0.365,No,pm2_1b,Rectangular (op),2.346,4.153,-23.77,27.677,1.583,ABCD,0
Ba4As4F4Se8,0.005,-1.703,No,p2_1/b11,Rectangular (op),2.348,11.166,-94.244,39.32,3.364,ABCD2,0
W2O4Br4,0,-1.516,No,pb2_1m,Rectangular (op),2.348,4.909,-64.971,29.975,1.846,AB2C2,0
In4Br4,0.064,-0.631,No,pbma,Rectangular (op),2.35,2.565,-22.44,56.865,2.032,AB,0
Au4S4Cl4,0,-0.178,No,p2_1/b11,Rectangular (op),2.35,3.826,-38.114,48.554,1.69,ABC,0
AgGaI2,0.096,-0.273,No,pm11,Rectangular (op),2.351,3.413,-9.791,22.475,2.728,ABC2,0
Ba4Bi4F4S8,0,-1.821,No,p2_1/b11,Rectangular (op),2.354,10.938,-101.398,37.619,3.343,ABCD2,0
Ag2Hg2Se2Cl2,0.03,-0.352,No,pm2_1b,Rectangular (op),2.362,3.566,-20.801,33.173,1.462,ABCD,0
Cu2Cl2S4,0,-0.303,No,p2_122,Rectangular (op),2.363,2.829,-29.656,35.84,2.473,ABC2,0
Hg2I2Br2,0.006,-0.438,No,pm2_1b,Rectangular (op),2.363,4.841,-10.526,32.623,2.754,ABC,0
Ag2Hg2S2Br2,0.023,-0.278,No,pm2_1b,Rectangular (op),2.363,4.203,-21.002,32.098,1.514,ABCD,0
Pd4Br8,0,-0.375,No,p2_1/b11,Rectangular (op),2.37,5.447,-32.453,58.771,1.322,AB2,0
Sr4As4Cl4Se8,0.043,-1.183,No,p2_1/b11,Rectangular (op),2.371,10.726,-84.016,42.665,3.018,ABCD2,0
Ge2S2,0.036,-0.246,No,pm2_1n,Rectangular (op),2.372,2.564,-18.174,16.368,3.107,AB,
Bi4B4S12,0.085,-0.315,No,p2_1/b11,Rectangular (op),2.378,5.452,-100.753,66.041,1.935,ABC3,0
Sr4P4F4Se8,0.055,-1.66,No,p2_1/b11,Rectangular (op),2.397,11.028,-95.56,34.673,3.33,ABCD2,0
Au4O4F4,0,-0.509,No,p2_1/b11,Rectangular (op),2.402,2.729,-45.476,40.249,1.343,ABC,0
Ba4As4Cl4Se8,0.048,-1.239,No,p2_1/b11,Rectangular (op),2.404,11.115,-85.755,46.406,3.111,ABCD2,0
Ag2Cl2Se4,0,-0.237,No,p2_111,Rectangular (op),2.421,3.148,-25.078,43.587,2.458,ABC2,
Cu2Cl2Se4,0.001,-0.304,No,p2_122,Rectangular (op),2.424,2.841,-27.284,38.581,2.549,ABC2,
In2Al2Se6,0.055,-0.648,No,pm2_1n,Rectangular (op),2.424,7.252,-40.379,25.787,2.712,ABC3,0
Sn4S4,0.037,-0.421,No,pb2_1a,Rectangular (op),2.426,2.836,-35.905,35.765,1.723,AB,0
Co2Br4,0.001,-0.36,Yes,pm2_1b,Rectangular (op),2.428,4.754,-24.954,25.565,2.673,AB2,6
Ge4P4Se4,0.027,-0.152,No,p2_122,Rectangular (op),2.433,3.557,-55.272,50.263,1.706,ABC,0
Ga4Te4I4,0,-0.447,No,p2_1/b11,Rectangular (op),2.433,4.986,-35.709,60.003,1.795,ABC,0
Ag2Sb4Br2Se3,0.095,-0.187,No,pm11,Rectangular (op),2.434,4.941,-38.979,55.669,1.559,A2B2C3D4,0
Al2S2I2,0.018,-0.88,No,pm2_1n,Rectangular (op),2.434,6.492,-23.867,20.471,2.154,ABC,0
Pt4P4Se4,0.062,-0.496,No,p2/b11,Rectangular (op),2.435,4.492,-66.754,34.209,2.503,ABC,0
Ga2ICl,0.062,-0.511,No,pm11,Rectangular (op),2.436,3.025,-11.113,21.419,2.384,ABC2,0
K2Tl2O2,0.052,-0.942,No,p2_1/m11,Rectangular (op),2.436,2.963,-23.332,23.558,2.53,ABC,0
Ge2Se2,0.083,-0.184,No,pm2_1n,Rectangular (op),2.436,1.854,-16.735,21.579,2.54,AB,0
Al2S2I2,0.044,-0.854,No,pmmn,Rectangular (op),2.44,6.033,-23.714,18.025,3.922,ABC,
Al8Te12,0.003,-0.448,No,p2_1/b11,Rectangular (op),2.441,4.254,-77.32,95.082,1.736,A2B3,0
Cu2Cd2Se2Cl2,0.081,-0.543,No,pm2_1b,Rectangular (op),2.442,4.1,-24.084,28.89,1.553,ABCD,0
Ag2F2Se4,0.022,-0.569,No,p2_111,Rectangular (op),2.442,2.198,-27.337,42.162,2.078,ABC2,0
In4Te4I4,0,-0.451,No,p2_1/b11,Rectangular (op),2.444,5.049,-35.192,66.888,1.762,ABC,0
PdPt3O8,0,-0.524,No,p2/m11,Rectangular (op),2.448,1.905,-70.168,34.084,3.148,AB3C8,0
Sn4As4S4,0.089,-0.216,No,p2_122,Rectangular (op),2.455,3.311,-53.785,58.448,1.622,ABC,0
Zn2As4S8,0.076,-0.261,No,p2_111,Rectangular (op),2.457,7.928,-57.301,31.572,2.647,AB2C4,0
Cu2Cd2Te2Cl2,0.093,-0.464,No,pm2_1b,Rectangular (op),2.458,3.835,-22.902,31.342,1.554,ABCD,0
Ag2Cd2S2Br2,0.045,-0.489,No,pm2_1b,Rectangular (op),2.461,4.722,-22.77,31.161,1.512,ABCD,0
Cu2Cd2Se2Br2,0.07,-0.473,No,pm2_1b,Rectangular (op),2.461,4.55,-23.126,29.698,1.575,ABCD,0
Al4Se6,0.024,-0.833,No,pmmn,Rectangular (op),2.462,4.79,-44.175,40.858,2.929,A2B3,0
Cu4H4O4Cl4,0.029,-0.712,Yes,p2_1/b11,Rectangular (op),2.462,4.669,-67.028,34.606,1.694,ABCD,3.982
Cu2Cd2Te2Br2,0.082,-0.395,No,pm2_1b,Rectangular (op),2.466,4.213,-21.947,32.388,1.572,ABCD,0
Au4Te2O12,0.041,-0.368,No,p2_1/b11,Rectangular (op),2.467,2.828,-87.04,55.362,1.592,AB2C6,0
Cu2Sb4Br2Se3,0.094,-0.189,No,pm11,Rectangular (op),2.472,4.625,-40.671,50.462,1.622,A2B2C3D4,0
In2Te2Br2,0.004,-0.592,No,pm2_1n,Rectangular (op),2.473,5.828,-18.656,27.817,1.936,ABC,0
Ge4Sb4S4,0.011,-0.177,No,p2_122,Rectangular (op),2.476,3.547,-54.12,55.994,1.668,ABC,0
Cu2As4Br2Se3,0.038,-0.178,No,pm11,Rectangular (op),2.483,4.429,-41.581,48.131,1.526,A2B2C3D4,0
Cu2Cd2Te2I2,0.067,-0.308,No,pm2_1b,Rectangular (op),2.486,5.039,-21.037,33.592,1.676,ABCD,0
Hg2I2Br2,0.011,-0.433,No,pmm2,Rectangular (op),2.486,3.413,-10.496,38.544,2.482,ABC,0
Ge4As4Se4,0.005,-0.181,No,p2_122,Rectangular (op),2.487,3.428,-52.821,53.178,1.675,ABC,0
Ge2S2,0.052,-0.23,No,pm2_1n,Rectangular (op),2.489,1.845,-18.109,19.873,2.489,AB,0
Cu2Cl2F2,0.044,-1.014,Yes,pb11,Rectangular (op),2.495,2.255,-20.18,21.328,2.476,ABC,1.993
Cu2Cd2Se2I2,0.059,-0.382,No,pm2_1b,Rectangular (op),2.498,5.158,-22.185,30.73,1.687,ABCD,0
